Rank,Release Group,Worldwide,Domestic,%,Foreign,%
137,Heart of Africa,"$24,139","$24,139",100%,-,-
138,"Phoenix, Oregon","$23,613","$23,613",100%,-,-
139,Premature,"$23,071","$23,071",100%,-,-
140,L'Innocente,"$22,549","$22,549",100%,-,-
141,Never Too Late,"$21,915",-,-,"$21,915",100%
142,Lore,"$20,006","$20,006",100%,-,-
143,The Shining 40th Anniversary,"$19,024",-,-,"$19,024",100%
144,Pandora and the Flying Dutchman 2020 Re-release,"$17,401","$17,401",100%,-,-
145,Made in Hong Kong,"$17,255","$17,255",100%,-,-
146,Advocate,"$16,942","$16,942",100%,-,-
147,Straight Up,"$16,080","$16,080",100%,-,-
148,"I Was at Home, But...","$14,078","$14,078",100%,-,-
149,Powerbomb,"$11,319","$11,319",100%,-,-
150,Lost in America,"$11,301","$11,301",100%,-,-
151,You Go to My Head,"$10,682","$10,682",100%,-,-
152,Inception 10th Anniversary re-release,"$10,539",-,-,"$10,539",100%
153,Foosballers,"$9,966","$9,966",100%,-,-
154,Just One More Kiss,"$9,130","$9,130",100%,-,-
155,Juvenile Delinquents,"$8,946","$6,312",70.6%,"$2,634",29.4%
156,Inside the Rain,"$8,140","$8,140",100%,-,-
157,The Wave,"$8,101","$8,101",100%,-,-
158,The Grizzlies,"$6,754","$6,754",100%,-,-
159,Human Capital,"$6,596","$6,596",100%,-,-
160,Afterward,"$6,477","$6,477",100%,-,-
161,The Other Lamb,"$6,187","$6,024",97.4%,$163,2.6%
162,Guest Artist,"$5,906","$5,906",100%,-,-
163,I AM PATRICK,"$5,838",-,-,"$5,838",100%
164,Killer Raccoons 2: Dark Christmas in the Dark,"$4,476","$4,476",100%,-,-
165,King's Gambit,"$3,816","$3,816",100%,-,-
166,The Roads Not Taken,"$3,518","$3,518",100%,-,-
167,Sex and the Future,"$3,101","$3,101",100%,-,-
168,Valley Girl,"$3,080",-,-,"$3,080",100%
169,What We Found,"$2,720","$2,720",100%,-,-
170,Moondance,"$2,371","$2,371",100%,-,-
171,Detective Chinatown 3,"$2,342",-,-,"$2,342",100%
172,Goldie,"$2,302","$2,302",100%,-,-
173,Gul Makai,"$2,035",-,-,"$2,035",100%
174,The Fox Hunter,"$1,577","$1,577",100%,-,-
175,Hai Tang Hong,"$1,107","$1,107",100%,-,-
176,The Transcendents,"$1,090","$1,090",100%,-,-
177,Spaceship Earth,$168,-,-,$168,100%
